day,month,year,first,3digit,last_2digit_top,first_3digit_1,first_3digit_2,last_3digit_1,last_3digit_2,last_2digit_down
16,7,2559,449764,764,64,552,734,158,925,55
1,7,2559,82460,460,60,169,609,173,302,53
16,6,2559,73816,816,16,251,804,321,749,79
1,6,2559,511825,825,25,111,775,880,937,14
16,5,2559,141737,737,37,382,975,87,268,98
2,5,2559,399459,459,59,238,403,46,671,2
16,4,2559,221609,609,9,8,228,507,523,87
1,4,2559,66720,720,20,390,546,285,852,92
16,3,2559,134918,918,18,855,877,4,973,32
1,3,2559,439686,686,86,426,530,155,743,6
16,2,2559,356364,364,64,312,699,309,535,98
1,2,2559,927800,800,0,625,999,54,76,9
17,1,2559,304371,371,71,31,532,743,786,50
30,12,2558,8217,217,17,246,264,596,895,2
17,12,2558,930255,255,55,140,250,94,638,8
1,12,2558,915350,350,50,181,238,175,714,78
16,11,2558,795283,283,83,28,241,643,802,3
1,11,2558,361211,211,11,106,757,166,473,45
16,10,2558,968630,630,30,134,457,54,412,62
1,10,2558,594825,825,25,175,918,440,799,7
16,9,2558,743148,148,48,209,435,84,375,6
1,9,2558,21094,94,94,260,403,68,819,89
16,8,2558,33363,363,63,227,624,648,781,40
1,8,2558,518677,677,77,333,598,648,889,53
16,7,2558,121507,507,7,294,461,761,830,49
1,7,2558,759049,49,49,81,565,567,814,26
16,6,2558,644742,742,42,253,386,429,532,5
2,6,2558,388881,881,81,314,700,876,969,65
16,5,2558,11421,421,21,484,799,851,928,38
2,5,2558,543466,466,66,163,195,366,818,30
16,4,2558,506260,260,60,101,164,495,973,38
1,4,2558,605704,704,4,557,558,861,962,70
16,3,2558,48151,151,51,339,622,623,757,92
1,3,2558,240237,237,37,8,31,498,857,34
16,2,2558,1864,864,64,103,392,825,843,90
1,2,2558,155537,537,37,8,83,286,813,79
16,1,2558,244351,351,51,68,398,595,877,74
30,12,2557,461704,704,4,535,853,950,982,57
16,12,2557,948354,354,54,80,763,775,901,90
1,12,2557,480449,449,49,161,380,580,820,11
16,11,2557,479804,804,4,179,422,480,709,25
1,11,2557,206608,608,8,203,607,855,979,44
16,10,2557,656409,409,9,647,784,848,910,94
1,10,2557,375615,615,15,86,159,251,520,44
16,9,2557,772269,269,69,112,257,342,790,35
1,9,2557,856763,763,63,308,477,490,912,22
16,8,2557,662842,842,42,187,633,639,912,91
1,8,2557,766391,391,91,349,576,623,637,82
16,7,2557,468728,728,28,104,117,205,944,45
1,7,2557,378477,477,77,123,271,441,864,39
16,6,2557,673920,920,20,140,158,576,639,95
1,6,2557,781198,198,98,160,324,409,636,18
16,5,2557,87523,523,23,112,150,246,505,20
2,5,2557,103297,297,97,143,158,673,797,52
16,4,2557,153406,406,6,13,344,355,634,26
1,4,2557,28866,866,66,186,499,835,938,95
16,3,2557,531404,404,4,250,305,400,904,79
1,3,2557,906318,318,18,116,537,753,798,35
16,2,2557,384245,245,45,74,397,521,530,1
1,2,2557,180149,149,49,406,492,888,976,95
16,1,2557,306902,902,2,77,149,242,510,52
30,12,2556,561072,72,72,275,503,513,750,48
16,12,2556,341767,767,67,111,228,742,826,79
1,12,2556,168795,795,95,74,734,766,980,27
16,11,2556,806925,925,25,69,304,672,753,28
1,11,2556,739804,804,4,20,173,256,502,47
16,10,2556,963289,289,89,402,529,876,952,60
1,10,2556,647882,882,82,28,324,576,650,14
16,9,2556,562684,684,84,56,235,574,754,63
1,9,2556,548123,123,23,45,281,570,800,5
16,8,2556,321327,327,27,201,417,448,945,20
1,8,2556,356435,435,35,329,451,718,880,82
16,7,2556,566996,996,96,210,352,526,584,86
1,7,2556,646905,905,5,75,284,903,904,51
16,6,2556,289673,673,73,98,114,390,502,69
1,6,2556,935489,489,89,480,713,716,768,90
16,5,2556,687125,125,25,34,261,390,945,56
2,5,2556,603458,458,58,272,359,516,830,7
16,4,2556,843846,846,46,834,862,906,828,86
1,4,2556,571688,688,88,170,430,670,725,53
16,3,2556,968433,433,33,175,529,860,959,52
1,3,2556,976241,241,41,133,721,775,972,37
16,2,2556,368257,257,57,109,386,657,708,9
1,2,2556,565566,566,66,452,641,695,782,66
16,1,2556,820981,981,81,196,334,374,555,8
30,12,2555,302358,358,58,126,589,832,864,0
16,12,2555,529524,524,24,8,734,745,778,72
1,12,2555,110443,443,43,303,434,489,553,43
16,11,2555,639500,500,0,560,576,627,804,15
1,11,2555,524694,694,94,188,217,285,338,63
16,10,2555,281343,343,43,89,152,396,868,28
1,10,2555,124025,25,25,291,554,873,940,58
16,9,2555,540143,143,43,123,242,752,770,79
1,9,2555,329997,997,97,148,598,639,736,7
16,8,2555,683877,877,77,32,612,730,775,28
1,8,2555,895590,590,90,599,745,796,820,50
16,7,2555,904050,50,50,42,159,224,897,11
1,7,2555,915900,900,0,530,611,656,715,60
16,6,2555,159373,373,73,238,479,547,790,51
1,6,2555,882727,727,27,399,576,606,895,38
16,5,2555,814418,418,18,101,309,504,902,31
2,5,2555,889501,501,1,426,468,589,597,29
16,4,2555,583470,470,70,88,216,722,754,62
1,4,2555,257562,562,62,74,332,581,616,69
16,3,2555,607064,64,64,333,350,573,606,8
1,3,2555,222518,518,18,135,199,295,711,79
16,2,2555,648684,684,84,111,214,420,906,18
1,2,2555,320605,605,5,426,498,598,749,32
16,1,2555,451445,445,45,150,328,639,941,81
30,12,2554,526402,402,2,26,168,541,597,65
16,12,2554,884178,178,78,235,295,651,784,21
1,12,2554,408147,147,47,253,739,857,922,2
